主键ID	资源关键字	标签	相关联地形	防御	晴	雨	雪
AW_terrain_plain	plain			1	1,1,1,2,1,0,0,0	1,1,2,3,1,0,0,0	2,1,2,3,2,0,0,0
AW_terrain_mountain	mountain			4	2,1,0,0,1,0,0,0	2,1,0,0,1,0,0,0	4,2,0,0,2,0,0,0
AW_terrain_wood	wood			2	1,1,2,3,1,0,0,0	1,1,3,4,1,0,0,0	2,1,3,4,2,0,0,0
AW_terrain_river	river	cross,bend,line,branch		0	2,1,0,0,1,0,0,0	2,1,0,0,1,0,0,0	2,1,0,0,2,0,0,0
AW_terrain_road	road	cross,bend,line,branch		0	1,1,1,1,1,0,0,0	1,1,1,1,1,0,0,0	1,1,1,1,2,0,0,0
AW_terrain_bridge	bridge	line	AW_terrain_river	0	1,1,1,1,1,0,0,0	1,1,1,1,1,0,0,0	1,1,1,1,2,0,0,0
AW_terrain_sea	sea			0	0,0,0,0,1,1,1,0	0,0,0,0,1,1,1,0	0,0,0,0,2,2,2,0
AW_terrain_shoal	shoalne		AW_terrain_sea	0	1,1,1,1,1,0,1,0	1,1,1,1,1,0,1,0	1,1,1,1,2,0,1,0
AW_terrain_reef	reef			1	0,0,0,0,1,2,2,0	0,0,0,0,1,2,2,0	0,0,0,0,2,2,2,0
AW_terrain_pipe	pipe	bend,line,head		0	0,0,0,0,0,0,0,1	0,0,0,0,0,0,0,1	0,0,0,0,0,0,0,1
AW_terrain_missile	missilesilo			3	1,1,1,1,1,0,0,0	1,1,1,1,1,0,0,0	1,1,1,1,2,0,0,0
AW_terrain_pipeseam	hpipeseam			0	0,0,0,0,0,0,0,1	0,0,0,0,0,0,0,1	0,0,0,0,0,0,0,1
